Sender/Receiver,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,,2.23,2.79,3.79,INF,2.17,2.57,3.50,6.17,INF,3.29,4.60,5.21,INF,INF,3.91,5.95,INF,INF,INF,INF,INF,INF,INF,INF
1,2.16,,2.04,2.71,5.72,2.60,2.31,2.86,3.97,7.31,3.09,3.34,4.74,4.46,INF,5.45,5.45,5.45,INF,INF,INF,INF,INF,INF,INF
2,2.69,2.10,,1.93,2.83,3.21,2.37,2.48,2.99,3.43,5.48,3.03,3.62,2.98,3.92,INF,4.21,4.21,5.21,INF,INF,INF,INF,INF,INF
3,3.92,2.79,1.88,,2.04,5.98,3.10,2.23,2.10,2.10,INF,4.88,4.90,2.67,2.72,INF,INF,5.45,5.79,6.58,INF,INF,INF,INF,INF
4,INF,6.04,2.94,2.10,,INF,8.42,4.21,2.65,1.98,INF,INF,7.58,4.34,3.02,INF,INF,INF,9.09,5.88,INF,INF,INF,INF,INF
5,2.10,2.78,3.33,7.31,INF,,1.93,3.06,4.41,INF,2.04,2.16,3.79,3.61,INF,2.16,2.61,4.11,INF,INF,4.46,5.95,INF,INF,INF
6,2.48,2.38,2.44,3.21,10.33,1.88,,1.93,3.19,5.26,2.46,1.93,2.23,2.75,4.01,2.37,2.37,2.98,4.96,INF,5.58,5.21,5.98,INF,INF
7,3.97,2.94,2.39,2.30,4.96,2.94,1.88,,2.10,3.16,3.91,2.30,2.37,2.04,2.79,2.91,2.63,2.63,3.16,4.11,INF,3.91,4.11,3.72,INF
8,7.58,4.11,2.88,2.04,2.81,4.21,3.08,2.04,,2.17,5.56,3.00,2.87,1.83,2.16,INF,3.43,2.87,3.19,3.75,INF,INF,5.21,4.11,3.88
9,INF,7.72,3.56,2.16,1.93,INF,5.06,3.29,2.24,,INF,4.34,4.63,2.18,1.88,INF,INF,4.54,3.62,2.63,INF,INF,INF,5.67,3.72
10,3.16,3.19,5.26,INF,INF,1.99,2.39,3.79,5.14,INF,,2.48,3.72,4.08,INF,2.18,2.46,3.84,6.13,INF,3.08,3.31,4.96,INF,INF
11,5.21,3.44,2.91,5.79,INF,2.04,1.88,2.23,2.89,4.11,2.39,,2.23,2.23,3.12,2.16,2.10,2.37,3.21,4.24,3.61,3.29,3.40,3.55,INF
12,6.17,4.90,3.47,5.88,9.09,3.44,2.16,2.30,2.78,4.39,3.84,2.16,,2.04,2.99,3.00,2.16,2.23,2.78,4.54,5.04,3.91,3.36,3.72,3.75
13,INF,4.74,3.06,2.75,5.04,3.44,2.83,2.10,1.88,2.24,4.34,2.30,2.16,,1.99,2.83,2.46,2.17,2.30,2.33,INF,3.72,3.36,2.67,2.98
14,INF,INF,3.75,2.81,3.51,INF,3.85,2.71,2.23,1.83,INF,3.26,3.10,1.93,,INF,3.45,3.32,2.88,2.10,INF,INF,4.01,3.31,2.99
15,4.46,5.88,INF,INF,INF,2.10,2.45,3.03,INF,INF,2.24,2.23,3.12,2.94,INF,,1.98,2.79,4.35,INF,2.04,2.37,3.08,4.17,INF
16,6.67,5.66,4.37,INF,INF,2.53,2.44,2.72,3.56,INF,2.54,2.16,2.23,2.55,3.57,1.98,,2.23,3.19,4.46,2.37,2.23,2.44,2.45,3.59
17,INF,5.66,4.37,6.13,INF,4.06,3.08,2.72,2.98,4.70,3.97,2.44,2.37,2.24,3.43,2.88,2.30,,2.37,3.33,3.84,2.69,2.30,2.23,2.88
18,INF,INF,4.73,6.31,10.33,INF,4.34,3.06,2.99,3.21,5.79,3.00,2.61,2.12,2.78,3.85,2.99,2.24,,2.37,6.25,3.09,2.60,2.30,2.69
19,INF,INF,INF,6.94,6.68,INF,INF,3.99,3.51,2.55,INF,4.11,4.39,2.27,2.04,INF,4.17,3.12,2.44,,INF,5.43,3.19,2.16,2.16
20,INF,INF,INF,INF,INF,4.54,5.95,INF,INF,INF,3.19,3.79,5.38,INF,INF,2.10,2.38,3.91,7.69,INF,,1.88,2.79,3.44,INF
21,INF,INF,INF,INF,INF,5.21,4.81,3.79,INF,INF,3.43,3.44,3.79,3.50,INF,2.30,2.17,2.60,3.33,5.68,1.83,,2.04,2.24,3.56
22,INF,INF,INF,INF,INF,INF,5.26,3.87,4.63,INF,5.18,3.55,3.51,3.06,3.70,2.97,2.37,2.23,2.79,3.09,2.69,2.10,,1.93,2.53
23,INF,INF,INF,INF,INF,INF,INF,3.61,3.97,5.41,INF,3.72,3.91,2.78,3.43,4.01,2.54,2.23,2.52,2.23,3.29,2.30,1.98,,2.10
24,INF,INF,INF,INF,INF,INF,INF,INF,3.75,3.59,INF,INF,3.62,2.82,2.89,INF,3.47,2.71,2.79,2.10,INF,3.43,2.45,1.99,
