Sender/Receiver,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,,1.11,1.62,2.19,INF,1.23,1.53,1.85,3.04,INF,1.85,2.14,2.22,INF,INF,1.88,2.50,INF,INF,INF,INF,INF,INF,INF,INF
1,1.15,,1.19,1.58,2.65,1.51,1.34,1.48,2.08,3.75,1.71,1.70,2.45,2.58,INF,2.55,2.66,3.04,INF,INF,INF,INF,INF,INF,INF
2,1.50,1.11,,1.03,1.47,1.96,1.65,1.25,1.56,1.87,2.65,1.60,1.72,1.60,1.72,INF,2.19,2.39,2.19,INF,INF,INF,INF,INF,INF
3,1.88,1.50,1.00,,1.11,3.29,1.71,1.19,1.23,1.29,INF,2.36,2.45,1.54,1.48,INF,INF,2.90,2.66,2.98,INF,INF,INF,INF,INF
4,INF,2.50,1.53,1.15,,INF,4.13,1.85,1.39,1.11,INF,INF,3.12,2.20,1.54,INF,INF,INF,3.38,2.57,INF,INF,INF,INF,INF
5,1.19,1.44,2.16,3.75,INF,,1.19,1.66,3.04,INF,1.15,1.15,2.10,2.36,INF,1.25,1.58,2.29,INF,INF,2.42,2.92,INF,INF,INF
6,1.40,1.24,1.57,1.95,3.74,1.10,,1.03,1.87,2.86,1.19,1.07,1.28,1.70,2.07,1.19,1.39,1.62,1.98,INF,3.57,2.28,2.49,INF,INF
7,1.92,1.41,1.33,1.28,1.92,1.72,1.11,,1.10,1.90,1.92,1.19,1.23,1.29,1.56,1.56,1.45,1.64,1.44,2.08,INF,2.01,1.92,2.16,INF
8,2.86,1.97,1.51,1.33,1.45,2.68,1.95,1.08,,1.24,2.38,1.59,1.44,1.15,1.25,INF,1.79,1.77,1.51,1.79,INF,INF,2.38,2.28,2.05
9,INF,3.54,1.95,1.38,1.15,INF,3.04,1.83,1.29,,INF,2.22,2.31,1.48,1.11,INF,INF,2.73,1.71,1.44,INF,INF,INF,3.14,1.90
10,1.75,1.63,2.77,INF,INF,1.11,1.29,1.85,2.51,INF,,1.20,1.66,2.02,INF,1.03,1.23,1.87,2.08,INF,1.39,1.50,2.13,INF,INF
11,2.30,1.61,1.72,2.94,INF,1.19,1.15,1.19,1.72,2.30,1.24,,1.15,1.34,1.57,1.15,1.19,1.38,1.39,1.92,2.13,1.59,1.67,1.90,INF
12,2.41,2.30,1.88,2.94,3.41,2.16,1.39,1.23,1.51,2.41,1.72,1.10,,1.23,1.51,1.51,1.15,1.29,1.29,1.92,3.41,1.79,1.47,2.01,1.81
13,INF,2.22,1.54,1.47,1.93,2.08,1.61,1.15,1.07,1.34,1.79,1.19,1.11,,1.03,1.39,1.24,1.29,1.15,1.34,INF,1.75,1.52,1.59,1.70
14,INF,INF,1.64,1.41,1.47,INF,1.95,1.45,1.15,1.03,INF,1.44,1.39,1.08,,INF,1.50,1.70,1.34,1.07,INF,INF,1.70,1.63,1.57
15,1.96,2.41,INF,INF,INF,1.24,1.23,1.50,INF,INF,1.07,1.10,1.44,1.44,INF,,1.07,1.44,1.56,INF,1.11,1.10,1.39,1.95,INF
16,2.60,2.50,2.42,INF,INF,1.50,1.50,1.39,1.96,INF,1.23,1.15,1.10,1.34,1.63,1.03,,1.29,1.33,1.92,1.33,1.19,1.19,1.40,1.59
17,INF,2.86,2.63,3.76,INF,2.42,1.79,1.58,1.86,2.86,1.95,1.34,1.25,1.47,1.87,1.50,1.34,,1.15,1.77,2.34,1.38,1.33,1.28,1.63
18,INF,INF,2.52,3.40,3.74,INF,2.26,1.50,1.64,1.86,2.16,1.44,1.34,1.29,1.51,1.62,1.44,1.19,,1.15,3.74,1.57,1.29,1.15,1.29
19,INF,INF,INF,3.29,2.68,INF,INF,2.00,1.71,1.39,INF,1.85,1.85,1.48,1.15,INF,1.85,1.71,1.08,,INF,2.38,1.44,1.19,1.07
20,INF,INF,INF,INF,INF,2.19,3.86,INF,INF,INF,1.34,1.95,3.12,INF,INF,1.07,1.29,2.26,3.38,INF,,1.03,1.39,2.00,INF
21,INF,INF,INF,INF,INF,3.10,2.57,2.11,INF,INF,1.58,1.66,1.88,1.95,INF,1.15,1.23,1.44,1.52,2.49,1.11,,1.07,1.29,1.56
22,INF,INF,INF,INF,INF,INF,3.00,2.18,2.86,INF,2.38,1.85,1.60,1.85,1.98,1.52,1.29,1.44,1.34,1.58,1.57,1.11,,1.15,1.33
23,INF,INF,INF,INF,INF,INF,INF,2.00,2.08,2.94,INF,1.76,1.85,1.76,1.79,1.87,1.47,1.29,1.11,1.23,2.08,1.24,1.07,,1.11
24,INF,INF,INF,INF,INF,INF,INF,INF,2.17,2.00,INF,INF,1.92,2.02,1.72,INF,1.66,1.71,1.25,1.11,INF,1.51,1.23,1.15,
