Sender/Receiver,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,,0.42,INF,INF,INF,0.45,0.67,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
1,0.50,,0.55,INF,INF,0.68,0.61,0.86,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
2,INF,0.60,,0.54,INF,INF,0.78,0.61,0.67,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
3,INF,INF,0.50,,0.62,INF,INF,1.25,0.75,1.43,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
4,INF,INF,INF,0.45,,INF,INF,INF,0.62,0.55,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
5,0.55,0.78,INF,INF,INF,,0.86,INF,INF,INF,0.86,0.75,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
6,0.61,0.49,0.60,INF,INF,0.75,,0.54,INF,INF,1.23,0.60,1.23,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
7,INF,0.67,0.54,0.83,INF,INF,0.61,,0.75,INF,INF,1.11,0.67,1.67,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
8,INF,INF,0.74,0.67,0.72,INF,INF,0.93,,1.43,INF,INF,1.25,1.67,3.27,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
9,INF,INF,INF,0.86,0.45,INF,INF,INF,0.96,,INF,INF,INF,1.67,0.68,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
10,INF,INF,INF,INF,INF,0.55,0.96,INF,INF,INF,,0.83,INF,INF,INF,0.54,0.91,INF,INF,INF,INF,INF,INF,INF,INF
11,INF,INF,INF,INF,INF,0.83,0.86,1.67,INF,INF,1.11,,0.68,INF,INF,1.43,1.00,2.22,INF,INF,INF,INF,INF,INF,INF
12,INF,INF,INF,INF,INF,INF,1.70,0.83,1.67,INF,INF,0.60,,0.93,INF,INF,1.25,0.75,1.44,INF,INF,INF,INF,INF,INF
13,INF,INF,INF,INF,INF,INF,INF,1.43,1.43,1.98,INF,INF,0.75,,1.19,INF,INF,1.32,0.93,1.11,INF,INF,INF,INF,INF
14,INF,INF,INF,INF,INF,INF,INF,INF,1.11,0.54,INF,INF,INF,0.67,,INF,INF,INF,0.83,0.54,INF,INF,INF,INF,INF
15,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.68,1.67,INF,INF,INF,,0.62,INF,INF,INF,0.61,0.83,INF,INF,INF
16,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,1.24,0.86,0.93,INF,INF,0.56,,0.96,INF,INF,1.11,0.67,1.08,INF,INF
17,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,1.11,0.55,0.95,INF,INF,0.74,,0.60,INF,INF,1.33,0.60,1.07,INF
18,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,1.11,0.83,1.89,INF,INF,0.67,,0.50,INF,INF,0.86,0.67,0.83
19,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.95,0.91,INF,INF,INF,0.56,,INF,INF,INF,0.68,0.61
20,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.45,1.00,INF,INF,INF,,0.55,INF,INF,INF
21,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.67,0.86,2.22,INF,INF,0.67,,0.74,INF,INF
22,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.93,0.75,0.75,INF,INF,0.61,,0.60,INF
23,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.96,0.55,0.54,INF,INF,0.50,,0.55
24,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.68,0.49,INF,INF,INF,0.49,
