Sender/Receiver,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,,37.93,INF,INF,INF,189.63,43.10,INF,INF,42.14,42.67,INF,INF,INF,INF,INF,INF,INF,INF,INF,43.10,INF,INF,INF,INF,INF,INF,42.61,INF,INF,INF,94.81,INF,34.13,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,52.92,INF,INF,INF
1,37.93,,INF,INF,INF,34.13,34.13,INF,INF,129.29,63.68,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,38.79,2007.84,INF,INF,42.67,INF,37.93,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,45.51,INF,INF,INF
2,INF,INF,,42.67,INF,INF,INF,56.89,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,34.13,INF,INF,INF,INF,147.76,INF,INF,INF,INF,INF,INF,INF,39.01,INF,INF,INF,INF,INF,37.93,INF,INF,INF,INF,INF
3,INF,INF,42.67,,186.18,INF,INF,34.13,INF,INF,INF,129.29,INF,INF,INF,INF,INF,INF,45.51,INF,INF,INF,INF,60.95,114.93,34.13,INF,INF,INF,INF,42.14,INF,INF,INF,82.58,INF,INF,INF,102.66,INF,INF,INF,INF,INF,47.41,INF,INF,INF,INF,INF
4,INF,INF,INF,152.84,,INF,INF,170.67,INF,INF,INF,68.82,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,74.85,INF,INF,INF,INF,INF,256.00,INF,INF,INF,INF,INF,INF,INF,47.79,INF,38.79,INF,39.69,193.94,68.27,43.10,INF,INF,INF,216.34
5,75.85,34.13,INF,INF,INF,,37.93,INF,INF,85.33,76.19,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,136.53,INF,INF,49.61,INF,37.93,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,34.13,INF,INF,INF
6,42.14,34.13,INF,INF,INF,37.93,,INF,INF,INF,71.11,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,34.13,INF,INF,INF,34.13,INF,37.93,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,102.40,INF,INF,INF
7,INF,INF,56.89,34.13,284.44,INF,INF,,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,152.84,INF,61.44,INF,INF,INF,INF,37.93,INF,INF,INF,INF,INF,INF,INF,39.01,INF,INF,INF,768.00,INF,37.93,142.22,INF,INF,INF,INF
8,INF,INF,INF,INF,INF,INF,INF,INF,,INF,INF,INF,0.71,0.95,0.47,INF,INF,0.43,INF,1.09,INF,INF,INF,INF,INF,INF,1.65,INF,INF,INF,INF,INF,1.20,INF,INF,INF,INF,0.53,INF,0.53,INF,INF,INF,1.42,INF,INF,INF,INF,INF,INF
9,42.61,131.28,INF,INF,INF,218.80,INF,INF,INF,,47.94,INF,INF,INF,INF,82.58,INF,INF,INF,INF,INF,82.58,INF,INF,INF,INF,INF,INF,75.85,INF,INF,INF,INF,43.76,INF,INF,INF,INF,INF,INF,INF,64.00,INF,INF,INF,INF,56.89,INF,INF,INF
10,0.51,0.76,INF,INF,INF,0.76,0.57,INF,INF,0.51,,INF,INF,INF,INF,1.02,INF,INF,INF,INF,INF,1.37,INF,INF,INF,INF,INF,INF,0.68,INF,INF,INF,INF,0.51,INF,INF,INF,INF,INF,INF,INF,3.10,INF,INF,INF,INF,0.34,INF,INF,INF
11,INF,INF,INF,128.00,58.18,INF,INF,INF,INF,INF,INF,,INF,INF,INF,INF,INF,INF,81.92,INF,INF,67.93,INF,102.40,42.61,INF,INF,INF,INF,INF,63.92,INF,INF,INF,65.64,INF,INF,INF,INF,INF,546.13,275.27,INF,INF,42.61,INF,INF,INF,INF,INF
12,INF,INF,INF,INF,1059.31,INF,INF,INF,59.53,INF,INF,INF,,42.14,INF,INF,56.61,INF,INF,INF,609.52,INF,INF,INF,INF,INF,64.65,INF,INF,INF,INF,INF,298.67,INF,INF,INF,INF,55.41,INF,714.42,396.90,INF,INF,54.18,INF,INF,INF,INF,INF,INF
13,INF,INF,INF,INF,INF,INF,INF,INF,77.58,INF,INF,INF,42.61,,INF,INF,43.10,INF,INF,INF,56.89,INF,INF,INF,INF,INF,64.65,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,204.80,INF,95.88,INF,INF,INF,87.52,INF,INF,INF,INF,INF,INF
14,INF,INF,INF,INF,INF,INF,INF,INF,38.35,INF,INF,INF,INF,INF,,INF,INF,42.61,INF,37.93,INF,INF,INF,INF,INF,INF,INF,INF,INF,48.48,INF,INF,INF,INF,INF,47.94,INF,INF,INF,34.13,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
15,INF,INF,INF,INF,INF,INF,INF,INF,INF,72.78,72.78,INF,INF,INF,INF,,INF,INF,64.00,INF,INF,38.35,INF,INF,INF,INF,INF,INF,49.61,INF,INF,INF,INF,INF,48.00,INF,INF,INF,INF,INF,INF,44.10,INF,INF,INF,INF,239.53,INF,INF,INF
16,INF,INF,INF,INF,930.91,INF,INF,INF,INF,INF,INF,409.60,54.79,47.94,INF,INF,,INF,INF,INF,224.56,INF,INF,INF,127.36,INF,91.76,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,227.56,INF,INF,INF,INF,INF,INF
17,INF,INF,INF,INF,INF,INF,INF,INF,34.13,INF,INF,INF,INF,INF,42.14,INF,INF,,INF,60.95,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,85.55,INF,INF,202.11,INF,37.93,INF,60.95,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
18,INF,INF,INF,48.76,INF,INF,INF,INF,INF,INF,INF,76.19,INF,INF,INF,72.78,INF,INF,,INF,INF,110.82,INF,34.13,42.67,119.47,INF,INF,INF,INF,48.76,INF,INF,INF,38.40,INF,INF,INF,INF,INF,INF,84.91,INF,INF,68.82,INF,INF,INF,INF,INF
19,INF,INF,INF,INF,INF,INF,INF,INF,96.97,INF,INF,INF,INF,INF,37.93,INF,INF,63.68,INF,,56.89,INF,INF,INF,INF,INF,INF,INF,INF,38.35,INF,INF,INF,INF,INF,37.93,INF,INF,INF,42.67,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
20,4.21,INF,INF,INF,INF,INF,INF,INF,INF,45.85,INF,INF,47.79,5.49,INF,INF,21.33,INF,INF,INF,,INF,INF,INF,INF,INF,INF,4.88,INF,INF,INF,INF,INF,5.42,INF,INF,INF,INF,INF,14.22,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
21,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.81,0.95,0.84,INF,INF,INF,0.42,INF,INF,1.14,INF,INF,,INF,INF,0.85,INF,INF,INF,1.69,INF,INF,INF,INF,INF,0.49,INF,INF,INF,INF,INF,INF,0.42,INF,INF,INF,INF,1.14,INF,INF,INF
22,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,,INF,INF,INF,INF,INF,INF,INF,INF,INF,34.13,INF,INF,INF,42.67,74.85,INF,INF,INF,INF,INF,INF,INF,INF,INF,37.93,34.13,384.00
23,INF,INF,INF,68.82,INF,INF,INF,INF,INF,INF,INF,129.29,INF,INF,INF,INF,INF,INF,34.13,INF,INF,INF,INF,,129.29,47.79,INF,INF,INF,INF,87.07,INF,INF,INF,38.40,INF,INF,INF,INF,INF,INF,INF,INF,INF,129.29,INF,INF,INF,INF,INF
24,INF,INF,INF,102.40,78.77,INF,INF,INF,INF,INF,INF,42.61,INF,INF,INF,INF,102.40,INF,43.76,INF,INF,101.05,INF,102.40,,INF,INF,INF,INF,INF,54.79,INF,INF,INF,43.15,INF,INF,INF,INF,INF,INF,129.29,INF,INF,42.61,101.89,INF,INF,INF,INF
25,INF,INF,34.13,34.13,INF,INF,INF,60.95,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,117.70,INF,INF,INF,INF,48.08,INF,,INF,INF,INF,INF,221.65,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
26,INF,INF,INF,INF,1.90,INF,INF,INF,0.88,INF,INF,INF,0.70,0.70,INF,INF,0.90,INF,INF,INF,INF,INF,INF,INF,INF,INF,,INF,INF,INF,INF,INF,1.05,INF,INF,INF,INF,0.63,INF,INF,1.05,INF,1.90,0.79,INF,INF,INF,INF,INF,INF
27,42.14,37.93,INF,INF,INF,INF,34.13,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,45.51,INF,INF,INF,INF,INF,INF,,INF,INF,INF,37.93,INF,37.93,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
28,INF,1536.00,INF,INF,INF,170.67,INF,INF,INF,71.11,85.33,INF,INF,INF,INF,47.41,INF,INF,INF,INF,INF,142.22,INF,INF,INF,INF,INF,INF,,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,116.36,INF,INF,INF,INF,68.27,INF,INF,INF
29,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,52.01,INF,INF,INF,INF,37.93,INF,INF,INF,INF,INF,INF,INF,89.15,INF,,INF,INF,INF,INF,INF,34.13,INF,INF,INF,42.67,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
30,INF,INF,102.40,42.61,258.59,INF,INF,38.35,INF,INF,INF,67.72,INF,INF,INF,INF,INF,INF,50.95,INF,INF,INF,INF,81.27,56.61,216.34,INF,INF,INF,INF,,INF,INF,INF,91.70,INF,INF,INF,54.61,INF,INF,INF,INF,INF,42.14,INF,INF,INF,INF,INF
31,114.93,42.67,INF,INF,INF,60.95,34.13,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,38.35,INF,INF,INF,,INF,67.72,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
32,INF,INF,INF,INF,INF,INF,INF,INF,111.13,INF,INF,INF,406.35,INF,INF,INF,INF,104.80,INF,INF,INF,INF,34.13,INF,INF,INF,94.81,INF,INF,INF,INF,INF,,INF,INF,INF,INF,37.93,INF,INF,213.33,INF,INF,54.18,INF,INF,INF,42.67,76.80,768.00
33,34.13,37.93,INF,INF,INF,94.81,34.13,INF,INF,42.67,42.67,INF,INF,819.20,INF,INF,INF,INF,INF,INF,37.93,INF,INF,INF,INF,INF,INF,34.13,INF,INF,INF,63.92,INF,,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,45.51,INF,INF,INF
34,INF,INF,INF,84.91,INF,INF,INF,INF,INF,INF,INF,63.68,INF,INF,INF,63.92,INF,INF,38.79,INF,INF,43.76,INF,38.35,42.61,INF,INF,INF,INF,INF,87.07,INF,INF,INF,,INF,INF,INF,INF,INF,INF,64.65,INF,INF,96.97,INF,INF,INF,INF,INF
35,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,47.41,INF,INF,193.94,INF,38.35,INF,INF,INF,INF,INF,INF,INF,INF,INF,34.13,INF,INF,INF,INF,INF,,INF,INF,INF,43.76,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
36,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,42.67,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,34.13,38.35,INF
37,INF,INF,INF,INF,INF,INF,INF,INF,43.64,INF,INF,INF,60.95,286.83,INF,INF,INF,38.79,INF,INF,INF,INF,69.46,INF,INF,INF,56.89,INF,INF,INF,INF,INF,37.93,INF,INF,INF,INF,,INF,853.33,1003.92,INF,INF,37.93,INF,INF,INF,75.85,116.36,INF
38,INF,INF,193.94,105.84,53.42,INF,INF,38.79,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,34.13,INF,INF,INF,INF,INF,INF,INF,,INF,51.41,INF,43.10,INF,48.48,38.35,INF,INF,INF,65.02
39,INF,INF,INF,INF,INF,INF,INF,INF,45.51,INF,INF,INF,INF,94.81,34.13,INF,INF,65.02,INF,42.67,63.68,INF,INF,INF,INF,INF,INF,INF,INF,42.67,INF,INF,INF,INF,INF,43.89,INF,1551.52,INF,,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
40,INF,INF,INF,INF,37.93,INF,INF,INF,INF,INF,INF,364.09,241.35,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,80.13,INF,INF,INF,INF,INF,258.59,INF,INF,INF,INF,620.61,71.11,INF,,INF,34.13,53.33,153.60,34.13,INF,INF,INF,51.20
41,INF,INF,INF,INF,INF,INF,INF,INF,INF,72.78,172.39,243.81,INF,INF,INF,42.14,INF,INF,82.58,INF,INF,37.93,INF,INF,113.78,INF,INF,INF,101.89,INF,INF,INF,INF,INF,64.00,INF,INF,INF,INF,INF,INF,,INF,INF,INF,INF,102.40,INF,INF,INF
42,INF,INF,INF,INF,37.93,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,426.67,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,42.14,INF,34.13,INF,,113.78,189.63,37.93,INF,INF,INF,61.44
43,INF,INF,INF,INF,113.78,INF,INF,INF,101.89,INF,INF,INF,56.61,96.97,INF,INF,113.78,INF,INF,INF,INF,INF,INF,INF,INF,INF,75.85,INF,INF,INF,INF,INF,55.41,INF,INF,INF,INF,38.79,INF,INF,54.70,INF,110.11,,INF,136.53,INF,INF,INF,512.00
44,INF,INF,34.13,47.94,56.89,INF,INF,38.35,INF,INF,INF,42.61,INF,INF,INF,INF,INF,INF,54.61,INF,INF,INF,INF,102.40,42.61,INF,INF,INF,INF,INF,42.61,INF,INF,INF,98.46,INF,INF,INF,45.36,INF,152.38,INF,213.33,INF,,67.93,INF,INF,INF,INF
45,INF,INF,INF,INF,42.14,INF,INF,85.33,INF,INF,INF,182.04,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,136.53,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,37.93,INF,34.13,INF,38.35,341.33,65.02,,INF,INF,INF,38.40
46,50.57,43.89,INF,INF,INF,34.13,75.85,INF,INF,53.33,42.67,INF,INF,INF,INF,204.80,INF,INF,INF,INF,INF,344.78,INF,INF,INF,INF,INF,INF,68.27,INF,INF,INF,INF,45.51,INF,INF,INF,INF,INF,INF,INF,310.30,INF,INF,INF,INF,,INF,INF,INF
47,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,37.93,INF,INF,INF,INF,INF,INF,INF,INF,INF,45.51,INF,INF,INF,34.13,86.20,INF,INF,INF,INF,INF,INF,INF,INF,INF,,38.35,INF
48,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,34.13,INF,INF,INF,INF,INF,INF,INF,INF,INF,89.82,INF,INF,INF,37.93,114.93,INF,INF,INF,INF,INF,INF,INF,INF,INF,37.93,,INF
49,INF,INF,INF,INF,193.94,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,349.09,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,60.95,INF,50.95,INF,60.95,517.17,INF,38.35,INF,INF,INF,
