Sender/Receiver,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,,INF,1.32,INF,INF,13.89,6.94,INF,0.80,3.33,0.79,INF,0.80,INF,INF,INF,3.79,1.17,7.94,INF,2.78,INF,INF,INF,INF,INF,INF,INF,2.78,INF,INF,INF,INF,0.71,13.89,INF,INF,INF,INF,5.95,INF,INF,INF,INF,INF,0.44,INF,0.85,INF,INF
1,INF,,2.06,INF,INF,INF,INF,2.31,6.94,1.68,INF,INF,INF,INF,1.08,INF,5.21,INF,0.85,INF,2.78,5.56,INF,INF,INF,INF,3.97,INF,1.17,INF,INF,1.52,INF,INF,2.98,2.06,10.42,0.55,INF,INF,0.87,8.33,1.08,0.71,INF,INF,INF,INF,INF,3.47
2,1.42,2.31,,INF,INF,INF,INF,INF,0.55,0.52,4.63,INF,2.06,INF,4.17,INF,4.17,3.70,2.38,INF,2.08,INF,INF,INF,INF,INF,INF,INF,1.01,INF,INF,2.16,INF,1.38,0.82,INF,10.42,1.85,INF,11.11,3.33,INF,5.21,2.78,INF,0.85,INF,2.53,INF,INF
3,INF,INF,INF,,0.49,1.70,1.70,INF,INF,INF,INF,1.68,INF,0.80,INF,1.01,3.33,INF,INF,0.52,INF,4.17,1.26,1.19,0.65,1.85,5.56,INF,INF,1.16,5.21,INF,INF,INF,INF,INF,INF,INF,INF,2.78,INF,5.21,INF,INF,0.56,INF,INF,INF,0.52,INF
4,INF,INF,INF,0.52,,4.27,5.56,INF,INF,INF,INF,INF,INF,3.09,INF,8.33,18.52,INF,INF,0.58,INF,2.16,3.09,1.83,1.32,1.38,9.26,INF,INF,6.94,2.06,INF,2.78,INF,INF,INF,INF,INF,INF,6.17,INF,3.47,INF,INF,0.54,INF,INF,INF,0.62,INF
5,9.26,INF,INF,1.49,5.05,,0.44,INF,INF,INF,2.38,1.32,INF,8.33,INF,3.47,0.61,INF,3.97,2.14,2.31,2.06,0.65,0.65,3.70,3.79,0.85,INF,5.56,3.79,6.67,INF,INF,INF,INF,INF,INF,INF,INF,0.49,INF,3.09,INF,INF,2.56,8.33,INF,INF,2.56,INF
6,5.21,INF,INF,1.49,6.17,0.46,,INF,INF,INF,2.08,0.65,INF,4.63,INF,1.98,0.52,INF,3.97,2.78,2.65,3.09,0.58,0.58,3.70,6.17,1.08,INF,6.67,2.78,INF,INF,INF,6.94,INF,INF,INF,INF,INF,0.46,INF,3.09,INF,INF,3.03,5.21,INF,INF,3.03,INF
7,INF,2.98,INF,INF,INF,INF,INF,,INF,INF,INF,INF,INF,INF,7.94,INF,INF,INF,INF,INF,INF,1.89,INF,INF,INF,2.16,4.63,0.69,INF,INF,0.93,INF,2.16,INF,INF,0.42,INF,3.09,1.11,INF,6.94,2.60,INF,1.98,INF,INF,0.46,INF,INF,INF
8,0.87,10.42,0.58,INF,INF,INF,INF,INF,,1.98,2.78,INF,0.89,INF,INF,INF,6.17,1.68,6.94,INF,5.05,INF,INF,INF,INF,INF,INF,INF,3.47,INF,INF,INF,INF,0.87,2.16,INF,INF,7.94,INF,16.67,83.33,INF,INF,INF,INF,0.54,INF,2.08,INF,INF
9,3.70,2.06,0.55,INF,INF,INF,INF,INF,1.70,,10.42,INF,3.97,INF,2.65,INF,5.21,INF,1.52,INF,2.08,INF,INF,INF,INF,INF,INF,INF,0.65,INF,INF,1.85,INF,6.67,0.73,INF,6.94,0.75,INF,INF,1.19,INF,2.60,1.98,INF,1.85,INF,INF,INF,3.97
10,0.92,INF,6.17,INF,INF,3.33,2.78,INF,2.38,8.33,,2.60,2.65,INF,INF,INF,1.74,1.42,5.95,INF,2.31,INF,6.94,INF,INF,INF,13.89,INF,3.03,INF,INF,INF,INF,0.74,INF,INF,INF,INF,INF,2.06,INF,INF,INF,INF,INF,0.71,INF,1.38,INF,INF
11,INF,INF,INF,2.53,INF,1.98,0.89,INF,INF,INF,4.17,,INF,1.39,INF,0.74,7.58,INF,INF,INF,INF,INF,2.53,2.78,2.78,INF,INF,INF,INF,1.42,INF,INF,INF,INF,INF,INF,INF,INF,INF,1.74,INF,INF,INF,INF,6.67,INF,INF,INF,5.95,INF
12,0.74,INF,1.23,INF,INF,INF,INF,INF,0.75,2.78,1.98,INF,,INF,INF,INF,INF,0.82,INF,INF,6.94,INF,INF,INF,INF,INF,INF,INF,4.63,INF,INF,INF,INF,0.58,3.40,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.65,INF,0.52,INF,INF
13,INF,INF,INF,0.87,2.65,5.95,3.97,INF,INF,INF,INF,0.99,INF,,INF,0.54,7.58,INF,INF,1.68,INF,INF,2.78,7.58,0.89,INF,INF,INF,INF,0.52,INF,INF,INF,INF,INF,INF,INF,INF,INF,8.33,INF,INF,INF,INF,1.54,INF,INF,INF,1.68,INF
14,INF,0.92,3.33,INF,INF,INF,INF,5.56,INF,1.68,INF,INF,INF,INF,,INF,INF,INF,8.33,INF,INF,INF,INF,INF,INF,INF,INF,INF,8.33,INF,INF,0.58,INF,INF,1.52,2.08,0.74,0.69,INF,INF,0.70,INF,0.49,0.46,INF,INF,INF,INF,INF,0.85
