total nodes: 50
node  0:  517.738   830.521
node  1: -605.028   439.525
node  2: -74.3485   907.995
node  3:  410.707  -926.486
node  4:  200.384  -1003.29
node  5:  350.986  -180.669
node  6:  494.872  -172.612
node  7: -975.449  -338.841
node  8:  175.817   988.213
node  9: -281.493   817.904
node 10:  608.663   528.651
node 11:  995.619  -300.127
node 12:  527.478    1168.1
node 13:  855.749  -792.335
node 14: -865.404   669.013
node 15:  889.361  -707.079
node 16:  258.924  -8.25209
node 17:  833.677    899.59
node 18: -163.515   339.406
node 19:  242.563  -1061.18
node 20:  121.461   316.064
node 21: -272.927  -459.838
node 22:   322.88  -437.572
node 23:   130.67  -392.201
node 24:  502.967  -809.252
node 25: -202.406  -641.027
node 26: -87.4162  -189.348
node 27:  -908.42  -967.378
node 28: -109.629    517.12
node 29:  971.327  -935.538
node 30:  -452.25  -600.879
node 31: -958.924   853.592
node 32:  -670.39  -1116.83
node 33:  693.832   821.932
node 34: -429.814    1108.1
node 35: -1119.77   -127.69
node 36: -1054.23   1170.69
node 37: -563.298   548.776
node 38: -903.594  -1015.61
node 39:  351.338  -11.6551
node 40: -682.468   641.588
node 41: -245.837  -340.103
node 42: -932.993   755.332
node 43: -965.243   513.757
node 44:  246.996  -998.788
node 45:  375.588    791.98
node 46: -1143.28  -705.404
node 47:  894.077   1126.65
node 48:  252.672  -969.494
node 49: -1187.32   1195.09
