total nodes: 50
node  0: -561.292  -382.559
node  1: -174.292  -948.839
node  2:  1157.52   347.435
node  3:  63.2645  -1043.71
node  4: -56.9216   626.688
node  5: -656.574   411.045
node  6: -231.495   72.8024
node  7: -385.963  -22.1946
node  8:  614.751   -978.16
node  9:  10.5789  -46.9157
node 10:  -509.33  -555.058
node 11: -631.064  -0.0741396
node 12:  1158.55  -189.657
node 13: -368.145   747.246
node 14: -1008.81   553.727
node 15: -348.935   -232.62
node 16:  662.248   166.709
node 17: -380.756   1028.34
node 18: -607.719  -663.188
node 19: -1061.39   -434.95
node 20:  926.549   694.896
node 21: -327.385  -91.3325
node 22:  13.0742     607.1
node 23: -96.7507   290.173
node 24:  801.701  -976.708
node 25:  1084.35  -194.874
node 26: -221.382  -622.486
node 27: -690.526   647.213
node 28:  451.641  -218.788
node 29:   726.48   -20.311
node 30:   941.58  -514.788
node 31:  -719.39   -369.37
node 32:  816.927  -466.749
node 33: -117.807  -387.465
node 34: -1102.75   804.626
node 35: -1154.15    -930.1
node 36:  -430.98   1183.25
node 37: -1179.02   485.022
node 38: -344.904   619.652
node 39: -999.232   -520.94
node 40:  467.161  -1176.24
node 41: -311.907   319.945
node 42: -18.8511  -768.382
node 43:  305.579   807.863
node 44: -30.2807   972.121
node 45:  43.2002   -747.44
node 46:  889.549  -574.517
node 47: -1031.95   1158.09
node 48:  315.818  -725.429
node 49: -849.891  -174.231
