Sender/Receiver,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,,53.33,INF,INF,INF,53.33,48.76,INF,INF,39.69,34.13,INF,INF,568.89,INF,INF,INF,INF,INF,INF,45.51,INF,INF,INF,INF,INF,INF,54.79,136.53,INF,INF,63.21,INF,34.13,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,38.40,INF,INF,INF
1,42.67,,INF,INF,INF,37.93,42.67,INF,INF,48.76,48.62,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,42.67,61.69,INF,INF,42.61,INF,48.62,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,38.40,INF,INF,INF
2,INF,INF,,43.76,INF,INF,INF,43.76,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,189.63,INF,INF,INF,INF,258.59,INF,34.13,INF,INF,INF,INF,99.74,INF,INF,INF,258.59,INF,INF,INF,101.59,INF,INF,INF,INF,INF,172.39,INF,INF,INF,INF,INF
3,INF,INF,43.89,,474.07,INF,INF,34.13,INF,INF,INF,355.56,INF,INF,INF,INF,INF,INF,48.76,INF,INF,INF,INF,60.95,406.35,37.93,INF,INF,INF,INF,34.13,INF,INF,INF,94.81,INF,INF,INF,72.93,INF,INF,INF,853.33,INF,34.13,INF,INF,INF,INF,INF
4,INF,INF,INF,546.13,,INF,INF,INF,INF,INF,INF,48.48,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,61.17,INF,INF,INF,INF,INF,59.73,INF,INF,INF,INF,INF,INF,INF,63.50,INF,44.65,INF,39.69,132.30,48.76,43.10,INF,INF,INF,121.36
5,56.89,37.93,INF,INF,INF,,49.61,INF,INF,38.79,37.93,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,113.78,34.13,INF,INF,42.61,INF,42.61,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,34.13,INF,INF,INF
6,54.18,42.67,INF,INF,INF,47.41,,INF,INF,INF,284.44,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,54.18,INF,INF,INF,47.41,INF,54.18,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,284.44,INF,INF,INF
7,INF,INF,43.89,34.13,INF,INF,INF,,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,853.33,INF,42.61,INF,INF,INF,INF,38.35,INF,INF,INF,INF,INF,INF,INF,54.18,INF,INF,INF,INF,INF,37.93,INF,INF,INF,INF,INF
8,INF,INF,INF,INF,INF,INF,INF,INF,,INF,INF,INF,0.70,0.76,0.42,INF,INF,0.48,INF,0.61,INF,INF,INF,INF,INF,INF,0.57,INF,INF,INF,INF,INF,0.76,INF,INF,INF,INF,0.42,INF,0.42,INF,INF,INF,1.81,INF,INF,INF,INF,3.79,INF
9,39.82,48.76,INF,INF,INF,42.67,INF,INF,INF,,34.13,INF,INF,INF,INF,53.33,INF,INF,INF,INF,INF,101.89,INF,INF,INF,INF,INF,INF,38.40,INF,INF,136.53,INF,43.89,INF,INF,INF,INF,INF,INF,INF,55.41,INF,INF,INF,INF,34.13,INF,INF,INF
