Sender/Receiver,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,,34.13,INF,INF,INF,38.79,37.93,INF,INF,54.18,47.94,INF,INF,75.85,INF,INF,170.67,INF,INF,INF,48.48,455.11,INF,INF,INF,INF,INF,85.33,238.93,INF,INF,43.89,INF,34.13,INF,INF,INF,INF,INF,449.12,INF,INF,INF,INF,INF,INF,43.10,INF,INF,INF
1,34.13,,INF,INF,INF,34.13,37.93,INF,INF,54.79,37.93,INF,INF,INF,INF,INF,INF,INF,INF,INF,85.33,487.62,INF,INF,INF,INF,INF,85.33,41.12,INF,INF,37.93,INF,34.13,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,34.13,INF,INF,INF
2,INF,INF,,213.33,INF,INF,INF,47.41,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,227.56,INF,INF,INF,INF,126.42,INF,42.14,INF,INF,INF,INF,53.33,INF,INF,INF,113.78,INF,INF,INF,69.66,INF,INF,INF,INF,INF,81.27,INF,INF,INF,INF,INF
3,INF,INF,0.53,,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.55,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
4,INF,INF,INF,INF,,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
5,37.93,34.13,INF,INF,INF,,37.93,INF,INF,48.48,37.93,INF,INF,INF,INF,597.33,INF,INF,INF,INF,304.76,355.56,INF,INF,INF,INF,INF,170.67,39.69,INF,INF,47.94,INF,37.93,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,34.13,INF,INF,INF
6,37.93,37.93,INF,INF,INF,37.93,,INF,INF,227.56,97.52,INF,INF,INF,INF,INF,INF,INF,INF,INF,142.22,INF,INF,INF,INF,INF,INF,85.33,512.00,INF,INF,34.13,INF,37.93,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,42.67,INF,INF,INF
7,INF,INF,0.42,3.79,2.53,INF,INF,,INF,INF,INF,0.95,INF,INF,INF,INF,INF,INF,2.11,INF,INF,INF,INF,0.79,0.95,0.49,INF,INF,INF,INF,0.54,INF,INF,INF,1.05,INF,INF,INF,0.65,INF,3.72,INF,0.94,INF,0.65,0.57,INF,INF,INF,10.04
8,INF,INF,INF,INF,INF,INF,INF,INF,,INF,INF,INF,58.51,85.33,37.93,INF,INF,37.93,INF,47.94,1003.92,INF,364.09,INF,INF,INF,54.79,INF,INF,INF,INF,INF,54.79,INF,INF,INF,INF,42.14,INF,37.93,INF,INF,INF,42.67,INF,INF,INF,238.93,102.40,INF
9,0.76,0.77,INF,INF,INF,0.68,3.74,INF,INF,,0.48,INF,INF,INF,INF,0.96,2.13,INF,INF,INF,INF,0.48,INF,INF,INF,INF,INF,11.85,0.48,INF,INF,INF,INF,1.06,INF,INF,INF,INF,INF,INF,INF,0.43,INF,INF,INF,INF,0.57,INF,INF,INF
10,48.62,37.93,INF,INF,INF,37.93,96.15,INF,INF,37.93,,INF,INF,INF,INF,59.73,INF,INF,INF,INF,443.29,42.67,INF,INF,INF,INF,INF,258.59,34.13,INF,INF,113.78,INF,71.11,INF,INF,INF,INF,INF,INF,INF,42.67,INF,INF,INF,INF,34.13,INF,INF,INF
11,INF,INF,INF,1034.34,379.26,INF,INF,517.17,INF,INF,INF,,INF,INF,INF,1137.78,284.44,INF,465.45,INF,INF,284.44,INF,189.63,113.78,INF,INF,INF,INF,INF,170.67,INF,INF,INF,142.22,INF,INF,INF,INF,INF,INF,275.82,232.73,INF,142.22,206.87,INF,INF,INF,INF
12,INF,INF,INF,INF,413.74,INF,INF,INF,45.51,INF,INF,INF,,43.10,INF,INF,227.56,INF,INF,INF,227.56,INF,INF,INF,INF,INF,63.68,INF,INF,INF,INF,INF,102.40,INF,INF,INF,INF,34.13,INF,930.91,INF,INF,517.17,56.89,INF,INF,INF,INF,INF,INF
13,1.14,INF,INF,INF,INF,INF,INF,INF,1.07,INF,INF,INF,0.60,,INF,INF,INF,2.99,INF,INF,0.89,INF,INF,INF,INF,INF,0.68,INF,INF,INF,INF,INF,INF,1.27,INF,INF,INF,10.67,INF,0.85,INF,INF,INF,0.85,INF,INF,INF,INF,INF,INF
14,INF,INF,INF,INF,INF,INF,INF,INF,38.35,INF,INF,INF,INF,INF,,INF,INF,42.61,INF,34.13,INF,INF,INF,INF,INF,INF,INF,INF,INF,48.48,INF,INF,INF,INF,INF,42.67,INF,227.56,INF,37.93,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
15,INF,INF,INF,INF,INF,5.89,INF,INF,INF,0.97,0.75,INF,INF,INF,INF,,INF,INF,1.82,INF,INF,0.76,INF,1.09,INF,INF,INF,INF,0.83,INF,INF,INF,INF,INF,0.61,INF,INF,INF,INF,INF,INF,0.50,INF,INF,INF,INF,0.99,INF,INF,INF
16,68.27,INF,INF,INF,136.53,INF,INF,INF,INF,68.27,INF,113.78,42.67,48.76,INF,INF,,INF,INF,INF,68.27,INF,INF,INF,INF,INF,56.89,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,136.53,113.78,INF,INF,INF,INF,INF,INF
17,INF,INF,INF,INF,INF,INF,INF,INF,37.93,INF,INF,INF,211.86,304.76,42.14,INF,INF,,INF,47.41,INF,INF,635.04,INF,INF,INF,168.14,INF,INF,635.04,INF,INF,56.70,INF,INF,189.63,INF,43.10,INF,42.67,INF,INF,INF,235.40,INF,INF,INF,105.84,68.27,INF
