total nodes: 50
node  0: -803.244  -356.411
node  1: -1035.75  -572.111
node  2:  1093.78  -931.432
node  3:  758.149  -809.263
node  4:   457.69   -233.28
node  5: -1041.45  -772.394
node  6: -1178.76  -418.013
node  7:  835.079  -655.486
node  8: -263.129   554.586
node  9: -573.565  -717.289
node 10: -673.343  -787.639
node 11:  222.314  -600.192
node 12: -103.611   125.851
node 13: -320.369   68.0958
node 14: -722.015   784.299
node 15: -272.343  -1181.55
node 16:   -144.4  -183.226
node 17:  -351.89   770.842
node 18:  280.689  -1057.99
node 19: -853.481   712.607
node 20: -683.628  -62.7675
node 21: -218.469  -828.344
node 22:  632.673   917.743
node 23:  358.104  -1074.57
node 24:  204.233  -641.784
node 25:  910.852  -1087.19
node 26:  46.5501   243.778
node 27: -1126.31  -181.968
node 28: -670.911  -1146.97
node 29: -1183.83   549.223
node 30:  553.932  -686.969
node 31: -1198.47  -323.432
node 32:  242.305   633.103
node 33:  -894.53   -368.67
node 34:  243.113  -988.441
node 35: -1085.39   674.732
node 36:  722.532   1158.13
node 37:  52.4281   612.542
node 38:  937.716  -250.876
node 39:  -698.08    497.63
node 40:  567.891   59.4107
node 41: -179.767  -1000.15
node 42:  552.866  -120.954
node 43:  163.923   219.651
node 44:  524.273  -569.697
node 45:  707.975  -68.5998
node 46: -776.127  -836.291
node 47:  420.115   1095.21
node 48:  189.526   1186.43
node 49:  875.254   164.416
