Sender/Receiver,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,,1.33,2.38,3.76,2.51,2.07,1.98,1.11,INF,2.04,2.98,1.66,2.27,2.24,1.63,1.15,1.56,3.40,1.11,2.29,2.50,2.78,INF,INF,1.67,1.53,INF,2.27,1.50,1.34
1,1.19,,INF,1.44,INF,4.41,3.12,1.59,INF,INF,3.99,2.88,3.57,INF,4.41,1.37,2.73,INF,1.15,2.50,INF,INF,INF,INF,1.07,2.07,INF,INF,1.50,2.17
2,2.24,INF,,3.57,1.03,1.63,1.15,1.66,6.85,1.19,2.16,1.56,1.57,1.50,2.60,2.16,2.14,2.60,2.65,1.64,1.03,1.38,1.15,1.57,INF,1.86,2.21,1.63,INF,2.49
3,3.04,1.39,3.19,,INF,3.75,2.55,2.45,1.90,1.79,1.15,2.78,1.85,INF,INF,3.36,3.04,INF,2.04,1.39,INF,1.87,INF,5.80,4.98,2.78,1.24,INF,INF,3.75
4,2.38,INF,1.07,INF,,1.63,1.39,1.60,INF,1.23,2.36,1.86,1.95,1.29,2.26,2.27,2.24,1.79,INF,2.27,1.03,1.51,1.08,1.45,INF,2.17,2.44,1.39,INF,2.49
5,1.86,5.00,1.56,4.56,1.50,,1.66,1.25,INF,2.00,3.29,1.25,2.50,1.24,1.64,1.50,1.51,1.45,2.04,2.70,1.56,2.63,1.86,4.33,INF,1.39,INF,1.23,2.74,1.56
6,1.88,3.25,1.11,2.94,1.34,1.72,,1.39,5.38,1.19,1.41,1.56,1.19,1.67,2.68,2.05,1.95,3.54,2.16,1.33,1.28,1.15,1.15,1.54,INF,1.56,1.93,1.72,3.75,2.08
7,1.15,1.90,1.81,3.20,1.67,1.39,1.51,,INF,1.64,2.44,1.19,1.88,1.40,1.24,1.11,1.19,2.26,1.23,2.04,1.79,2.28,2.16,INF,3.23,1.24,INF,1.39,1.41,1.08
8,INF,INF,8.02,2.02,INF,INF,6.30,INF,,3.03,1.64,INF,6.79,INF,INF,INF,INF,INF,INF,3.97,INF,2.02,INF,1.79,INF,INF,1.03,INF,INF,INF
9,2.14,INF,1.28,2.28,1.28,2.28,1.29,1.58,3.23,,1.11,1.79,1.39,1.88,3.06,2.36,2.24,INF,2.65,1.34,1.44,1.11,1.34,1.29,INF,1.95,1.24,2.16,INF,2.63
10,2.83,4.29,2.17,1.23,2.27,3.53,1.48,2.18,1.55,1.03,,2.57,1.29,INF,INF,2.98,INF,INF,3.16,1.25,2.57,1.19,2.08,1.39,INF,2.57,1.07,INF,INF,3.33
11,1.52,3.25,1.51,3.57,1.77,1.33,1.56,1.11,INF,1.56,2.68,,1.69,1.45,1.59,1.23,1.44,2.78,1.38,2.04,2.04,2.49,2.36,3.90,4.31,1.15,2.74,1.44,2.38,1.52
12,2.14,3.97,1.50,2.16,1.87,2.65,1.15,1.72,5.75,1.23,1.24,1.62,,2.51,3.40,2.26,2.13,5.15,2.36,1.15,1.95,1.33,1.79,2.26,INF,1.65,2.08,2.51,4.48,2.49
13,2.13,INF,1.58,INF,1.25,1.34,1.76,1.30,INF,1.79,INF,1.59,2.77,,1.33,1.65,1.69,1.23,2.70,2.70,1.34,2.51,1.64,3.76,INF,2.08,INF,1.15,2.94,1.87
14,1.56,5.32,2.78,INF,2.38,1.79,2.91,1.20,INF,2.90,INF,1.76,3.95,1.39,,1.44,1.23,1.33,2.07,3.86,1.95,INF,4.27,INF,5.36,1.90,INF,1.39,1.34,1.50
15,1.07,1.47,2.05,4.29,2.14,1.63,2.08,1.03,INF,2.16,3.12,1.23,2.38,1.57,1.39,,1.44,2.94,1.15,2.29,2.04,2.92,2.92,INF,2.38,1.07,INF,1.64,1.41,1.10
16,1.44,2.99,2.04,3.57,2.13,1.56,1.87,1.11,INF,2.04,INF,1.44,2.24,1.56,1.15,1.39,,2.16,1.65,2.27,2.04,2.65,2.63,INF,4.57,1.56,INF,1.56,1.50,1.19
17,2.90,INF,2.50,INF,1.59,1.52,3.00,1.89,INF,INF,INF,2.45,4.27,1.15,1.25,2.45,1.98,,INF,INF,1.58,INF,3.04,INF,INF,2.91,INF,1.11,3.33,2.57
18,1.03,1.11,2.50,1.96,INF,2.14,2.08,1.11,INF,2.27,2.98,1.34,2.16,2.38,1.86,1.11,1.57,INF,,2.08,INF,2.92,INF,INF,1.47,1.33,INF,2.24,1.52,1.39
19,1.95,2.34,1.57,1.34,2.05,2.38,1.25,1.65,3.58,1.15,1.10,1.79,1.11,2.38,3.06,2.05,2.04,INF,1.97,,1.96,1.24,2.05,2.38,INF,1.62,1.54,2.52,4.29,2.52
20,2.24,INF,1.07,INF,1.00,1.63,1.23,1.53,INF,1.23,2.42,1.79,1.86,1.28,1.77,1.86,1.96,1.64,INF,2.04,,1.56,1.08,1.45,INF,1.86,2.57,1.39,INF,2.38
21,2.50,INF,1.39,2.14,1.44,2.49,1.19,1.92,1.90,1.03,1.19,2.17,1.39,2.26,INF,2.63,2.50,INF,2.92,1.34,1.71,,1.34,1.19,INF,2.27,1.15,2.63,INF,2.94
22,INF,INF,1.08,INF,1.00,1.69,1.08,1.83,INF,1.15,1.88,2.07,1.64,1.51,3.40,2.63,2.38,2.86,INF,2.07,1.03,1.24,,1.24,INF,2.16,2.03,1.50,INF,2.80
23,INF,INF,1.52,7.14,1.34,4.78,1.48,INF,1.72,1.20,1.34,3.69,2.31,3.36,INF,INF,INF,INF,INF,3.00,1.52,1.23,1.34,,INF,3.69,1.15,4.78,INF,INF
24,1.60,1.15,INF,5.56,INF,INF,INF,3.03,INF,INF,INF,5.02,INF,INF,5.05,2.59,5.05,INF,1.53,INF,INF,INF,INF,INF,,5.67,INF,INF,1.29,4.17
25,1.40,2.16,1.96,3.40,2.05,1.44,1.62,1.15,INF,1.77,2.68,1.19,1.72,1.97,1.81,1.11,1.63,3.16,1.39,1.86,1.96,2.38,2.26,3.90,4.87,,2.86,1.79,2.34,1.44
26,INF,INF,2.36,1.34,2.36,INF,2.07,INF,1.07,1.15,1.11,2.90,2.22,INF,INF,INF,INF,INF,INF,1.88,2.73,1.19,2.18,1.19,INF,3.04,,INF,INF,INF
27,2.04,INF,1.56,INF,1.28,1.28,1.66,1.25,INF,1.90,INF,1.39,2.38,1.07,1.28,1.58,1.51,1.07,2.13,2.70,1.33,2.78,1.63,4.33,INF,1.71,INF,,2.44,1.56
28,1.44,1.58,INF,INF,INF,3.17,4.17,1.37,INF,INF,INF,2.58,5.00,3.17,1.39,1.48,1.65,4.00,1.66,5.29,INF,INF,INF,INF,1.34,2.50,INF,2.78,,1.79
