Sender/Receiver,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,,1.44,2.24,2.14,2.49,1.79,2.08,1.19,INF,2.26,2.24,1.59,1.72,2.26,1.57,1.08,1.45,3.57,1.15,2.00,2.24,2.65,INF,INF,1.85,1.47,INF,2.36,1.59,1.33
1,1.29,,INF,1.66,INF,4.13,4.17,1.92,INF,INF,4.05,3.50,3.50,INF,5.35,1.47,2.78,INF,1.08,2.68,INF,INF,INF,INF,1.07,2.00,INF,INF,1.57,2.00
2,2.13,INF,,2.49,1.00,1.64,1.08,2.13,4.69,1.07,1.64,1.71,1.23,1.69,2.80,2.38,2.16,3.06,2.78,1.56,1.03,1.34,1.11,1.47,INF,1.79,2.30,1.87,INF,2.13
3,2.04,1.59,2.38,,INF,2.83,2.18,2.50,1.88,1.65,1.15,2.39,1.42,INF,INF,2.92,2.63,INF,1.86,1.37,INF,1.56,INF,4.17,4.87,2.00,1.29,INF,INF,2.50
4,2.38,INF,1.03,INF,,1.58,1.29,2.27,INF,1.23,1.95,1.95,1.66,1.39,2.49,2.50,2.16,1.90,INF,2.17,1.07,1.57,1.08,1.44,INF,2.00,2.86,1.50,INF,2.38
5,1.64,4.29,1.57,2.49,1.44,,1.56,1.23,INF,1.79,2.24,1.23,1.65,1.10,1.47,1.57,1.38,1.47,1.77,1.95,1.44,2.26,1.63,4.29,INF,1.19,INF,1.10,2.46,1.50
6,1.79,3.75,1.03,1.92,1.24,1.63,,1.88,3.87,1.07,1.30,1.50,1.03,1.72,2.50,1.88,1.79,4.11,2.16,1.19,1.45,1.15,1.24,1.47,INF,1.44,2.00,1.81,4.17,1.79
7,1.23,2.38,2.38,2.92,2.36,1.39,2.19,,INF,2.51,2.63,1.52,2.00,1.57,1.39,1.23,1.15,2.44,1.50,2.29,2.24,2.92,2.92,INF,3.41,1.44,INF,1.57,1.64,1.15
8,INF,INF,5.43,2.00,INF,INF,4.50,INF,,2.33,1.42,INF,4.50,INF,INF,INF,INF,INF,INF,3.13,INF,1.79,INF,1.90,INF,INF,1.00,INF,INF,INF
9,2.38,INF,1.15,1.86,1.28,2.13,1.15,2.38,2.48,,1.19,1.79,1.20,1.88,3.33,2.92,2.63,INF,3.16,1.25,1.51,1.08,1.34,1.33,INF,2.19,1.29,2.36,INF,2.77
10,2.13,4.55,1.65,1.23,1.87,2.50,1.37,2.24,1.34,1.11,,1.95,1.25,INF,INF,2.65,INF,INF,2.83,1.19,2.27,1.19,2.27,1.44,INF,1.79,1.15,INF,INF,2.36
11,1.45,3.75,1.64,2.28,1.86,1.23,1.71,1.28,INF,1.56,2.05,,1.34,1.44,1.59,1.33,1.28,2.88,1.44,1.79,1.70,2.49,2.38,4.11,4.31,1.11,2.74,1.50,2.38,1.45
